,value
CSI300,MACD
CSI300,INTRADAY_RET
CSI300,DISC_RSI_TER
CSI300,RET_RANGE
CSI300,DAILY_RET
CSI300,STOCH_K
CSI300,RSI
CSI300,INTRADAY_OVERNIGHT_RET_DIFF
CSI300,DISC_MACD_1
CSI300,DISC_STOCH_K_1
CSI300,DISC_STOCH_K_3
CSI300,DISC_MACD_9
CSI300,OVERNIGHT_RET
HIBOR,DAILY_RET
HKD2CNY,RET_RANGE
HKD2CNY,DAILY_RET
HKD2CNY,INTRADAY_OVERNIGHT_RET_DIFF
HKD2CNY,OVERNIGHT_RET
HKD2CNY,INTRADAY_RET
HSI,DISC_STOCH_K_3
HSI,DISC_MACD_9
HSI,DISC_STOCH_K_1
HSI,RSI
HSI,MACD
HSI,STOCH_K
HSI,DISC_MACD_1
HSI,DISC_RSI_TER
HSI,RET_RANGE
HSI,INTRADAY_RET
HSI,INTRADAY_OVERNIGHT_RET_DIFF
HSI,OVERNIGHT_RET
HSI,DAILY_RET
NASDAQ,INTRADAY_RET
NASDAQ,DAILY_RET
NASDAQ,RET_RANGE
NASDAQ,OVERNIGHT_RET
S&P500,INTRADAY_RET
S&P500,DAILY_RET
S&P500,OVERNIGHT_RET
S&P500,RET_RANGE
SPDR Gold Shares,INTRADAY_RET
SPDR Gold Shares,OVERNIGHT_RET
SPDR Gold Shares,DAILY_RET
SPDR Gold Shares,RET_RANGE
SPDR Gold Shares,INTRADAY_OVERNIGHT_RET_DIFF
SSE50,RET_RANGE
SSE50,DAILY_RET
SSE50,INTRADAY_OVERNIGHT_RET_DIFF
SSE50,INTRADAY_RET
SSE50,OVERNIGHT_RET
USD2CNY,INTRADAY_OVERNIGHT_RET_DIFF
USD2CNY,DAILY_RET
USD2CNY,RET_RANGE
USD2CNY,INTRADAY_RET
USD2CNY,OVERNIGHT_RET
USD2HKD,INTRADAY_RET
USD2HKD,RET_RANGE
USD2HKD,OVERNIGHT_RET
USD2HKD,INTRADAY_OVERNIGHT_RET_DIFF
USD2HKD,DAILY_RET
VIX,INTRADAY_RET
VIX,DAILY_RET
VIX,OVERNIGHT_RET
VIX,RET_RANGE
iPath S&P GSCI Total Return Index,RET_RANGE
iPath S&P GSCI Total Return Index,INTRADAY_OVERNIGHT_RET_DIFF
iPath S&P GSCI Total Return Index,DAILY_RET
iPath S&P GSCI Total Return Index,INTRADAY_RET
iPath S&P GSCI Total Return Index,OVERNIGHT_RET
